sampling_unit_code	polygon_id	type	grts_ranking	grts_ranking_draw	source	area_class	sac
WVLDEP0159	WVLDEP0159	21	34889905	34889905	watersurfaces_hab_v5	1	1
WVLKOK0155	WVLKOK0155	21	35192625	35192625	watersurfaces_hab_v5	1	1
WVLMID0279	WVLMID0279	21	35867249	35867249	watersurfaces_hab_v5	1	1
WVLKOK0144	WVLKOK0144	21	36548401	36548401	watersurfaces_hab_v5	1	1
WVLKNO0312	WVLKNO0312	21	36782133	36782133	watersurfaces_hab_v5	1	0
WVLBRD0107	WVLBRD0107	21	36894833	36894833	watersurfaces_hab_v5	1	0
WVLDEP0137	WVLDEP0137	21	37033137	37033137	watersurfaces_hab_v5	1	1
WVLKOK0158	WVLKOK0158	21	37285681	37285681	watersurfaces_hab_v5	1	1
WVLBRD0079	WVLBRD0079	21	37816433	37816433	watersurfaces_hab_v5	1	1
WVLDEH0222	WVLDEH0222	21	38141365	38141365	watersurfaces_hab_v5	1	1
WVLKOK0234	WVLKOK0234	21	39159985	39159985	watersurfaces_hab_v5	1	1
WVLKNO0379	WVLKNO0379	21	39353653	39353653	watersurfaces_hab_v5	1	1
WVLKOK0179	WVLKOK0179	21	40040625	40040625	watersurfaces_hab_v5	1	1
WVLDEP0104	WVLDEP0104	21	40293553	40293553	watersurfaces_hab_v5	1	1
WVLKOK0005	WVLKOK0005	21	40655025	40655025	watersurfaces_hab_v5	1	1
WVLKNO0166	WVLKNO0166	21	40714293	40714293	watersurfaces_hab_v5	1	0
WVLBRD0115	WVLBRD0115	21	40773745	40773745	watersurfaces_hab_v5	1	1
WVLKOK0103	WVLKOK0103	21	41479985	41479985	watersurfaces_hab_v5	1	1
WVLNWP0012	WVLNWP0012	21	43661105	43661105	watersurfaces_hab_v5	1	0
WVLKOK0189	WVLKOK0189	21	43808945	43808945	watersurfaces_hab_v5	1	1
WVLKNO0222	WVLKNO0222	21	45301813	45301813	watersurfaces_hab_v5	1	1
WVLDEP0018	WVLDEP0018	21	45572273	45572273	watersurfaces_hab_v5	1	1
WVLKOK0162	WVLKOK0162	21	45825841	45825841	watersurfaces_hab_v5	1	1
WVLKNO0461	WVLKNO0461	21	46546229	46546229	watersurfaces_hab_v5	1	1
WVLKOK0074	WVLKOK0074	21	48246577	48246577	watersurfaces_hab_v5	1	1
WVLDEP0107	WVLDEP0107	21	48682161	48682161	watersurfaces_hab_v5	1	1
WVLBRD0116	WVLBRD0116	21	49162353	49162353	watersurfaces_hab_v5	1	1
WVLMID0276	WVLMID0276	21	51013425	51013425	watersurfaces_hab_v5	1	1
WVLDEP0160	WVLDEP0160	21	51667121	51667121	watersurfaces_hab_v5	1	1
WVLKOK0161	WVLKOK0161	21	52117297	52117297	watersurfaces_hab_v5	1	1
WVLDEH0308	WVLDEH0308	21	52364725	52364725	watersurfaces_hab_v5	1	1
WVLKNO0417	WVLKNO0417	21	52919605	52919605	watersurfaces_hab_v5	1	1
WVLKOK0156	WVLKOK0156	21	55160625	55160625	watersurfaces_hab_v5	1	1
WVLKNO0456	WVLKNO0456	21	55197749	55197749	watersurfaces_hab_v5	1	1
WVLKOK0164	WVLKOK0164	21	55848753	55848753	watersurfaces_hab_v5	1	1
WVLKNO0213	WVLKNO0213	21	55853109	55853109	watersurfaces_hab_v5	1	0
WVLKOK0043	WVLKOK0043	21	56817841	56817841	watersurfaces_hab_v5	1	1
WVLDEP0105	WVLDEP0105	21	57070769	57070769	watersurfaces_hab_v5	1	1
WVLDEH0105	WVLDEH0105	21	57255349	57255349	watersurfaces_hab_v5	1	1
WVLKNO0377	WVLKNO0377	21	57376053	57376053	watersurfaces_hab_v5	1	1
WVLBRD0114	WVLBRD0114	21	57550961	57550961	watersurfaces_hab_v5	1	1
WVLBRD0140	WVLBRD0140	21	58263665	58263665	watersurfaces_hab_v5	1	1
WVLMID0280	WVLMID0280	21	58935921	58935921	watersurfaces_hab_v5	1	1
WVLKOK0167	WVLKOK0167	21	59570353	59570353	watersurfaces_hab_v5	1	1
WVLBRD0112	WVLBRD0112	21	59582577	59582577	watersurfaces_hab_v5	1	1
WVLKOK0192	WVLKOK0192	21	59649841	59649841	watersurfaces_hab_v5	1	1
WVLKNO0390	WVLKNO0390	21	60046645	60046645	watersurfaces_hab_v5	1	1
WVLBRD0113	WVLBRD0113	21	60369009	60369009	watersurfaces_hab_v5	1	1
WVLKOK0139	WVLKOK0139	21	61405361	61405361	watersurfaces_hab_v5	1	1
WVLMID0282	WVLMID0282	21	62360177	62360177	watersurfaces_hab_v5	1	1
WVLKNO0106	WVLKNO0106	21	63002293	63002293	watersurfaces_hab_v5	1	0
WVLKNO0290	WVLKNO0290	21	63127605	63127605	watersurfaces_hab_v5	1	1
WVLDEH0352	WVLDEH0352	21	63162481	63162481	watersurfaces_hab_v5	1	1
WVLNWP0117	WVLNWP0117	21	63846193	63846193	watersurfaces_hab_v5	1	1
WVLMID0116	WVLMID0116	21	64061041	64061041	watersurfaces_hab_v5	1	1
WVLKOK0140	WVLKOK0140	21	64415921	64415921	watersurfaces_hab_v5	1	1
WVLKOK0163	WVLKOK0163	21	64700209	64700209	watersurfaces_hab_v5	1	1
WVLKNO0375	WVLKNO0375	21	64716085	64716085	watersurfaces_hab_v5	1	1
WVLKOK0108	WVLKOK0108	21	65419441	65419441	watersurfaces_hab_v5	1	0
WVLDEP0108	WVLDEP0108	21	65459377	65459377	watersurfaces_hab_v5	1	1
WVLBRD0117	WVLBRD0117	21	65939569	65939569	watersurfaces_hab_v5	1	1
WVLDEP0164	WVLDEP0164	21	66884785	66884785	watersurfaces_hab_v5	1	1
WVLKOK0028	WVLKOK0028	21	37550257	NA	original sample frame/assessments monitoring cycle 1	1	1
LIMDST0108	LIMDST0108	28	1675858	1675858	watersurfaces_hab_v5	2	1
LIMZNH0338	LIMZNH0338	28	14026450	14026450	watersurfaces_hab_v5	2	1
ANTTUR0296	ANTTUR0296	28	22107438	22107438	watersurfaces_hab_v5	2	1
LIMHHE0002	LIMHHE0002	28	47109330	47109330	watersurfaces_hab_v5	2	1
ANTRET0249	ANTRET0249	29	6812918	6812918	watersurfaces_hab_v5	1	1
